date,humidity,wind_speed,meanpressure,meantemp
2017-01-01,85.8695652173913,2.743478260869565,59.0,15.91304347826087
2017-01-02,77.22222222222223,2.8944444444444444,1018.2777777777778,18.5
2017-01-03,81.88888888888889,4.016666666666667,1018.3333333333334,17.11111111111111
2017-01-04,70.05,4.545,1015.7,18.7
2017-01-05,74.94444444444444,3.3000000000000003,1014.3333333333334,18.38888888888889
2017-01-06,79.31818181818181,8.681818181818182,1011.7727272727273,19.318181818181817
2017-01-07,95.83333333333333,10.041666666666664,1011.375,14.708333333333334
2017-01-08,83.52631578947368,1.95,1015.55,15.68421052631579
2017-01-09,80.80952380952381,6.542857142857142,1015.952380952381,14.571428571428571
2017-01-10,71.94444444444444,9.361111111111109,1016.8888888888889,12.11111111111111
2017-01-11,72.11111111111111,9.77222222222222,1016.7777777777778,11.0
2017-01-12,74.57894736842105,6.626315789473684,1016.3684210526316,11.789473684210526
2017-01-13,67.05882352941177,6.435294117647059,1017.5294117647059,13.235294117647058
2017-01-14,74.28,5.276,1018.84,13.2
2017-01-15,72.56521739130434,3.630434782608696,1018.1304347826087,16.434782608695652
2017-01-16,78.45,10.38,1017.15,14.65
2017-01-17,84.44444444444444,8.038888888888888,1018.3888888888889,11.722222222222221
2017-01-18,78.33333333333333,6.029166666666664,1021.9583333333334,13.041666666666666
2017-01-19,75.14285714285714,10.338095238095239,1022.8095238095239,14.619047619047619
2017-01-20,66.47368421052632,11.226315789473684,1021.7894736842105,15.263157894736842
2017-01-21,70.8695652173913,13.695652173913043,1020.4782608695652,15.391304347826088
2017-01-22,76.24,5.8679999999999986,1021.04,18.44
2017-01-23,76.0,6.752941176470588,1019.8235294117648,18.11764705882353
2017-01-24,68.1304347826087,3.3913043478260865,1018.8695652173913,18.347826086956523
2017-01-25,69.96,8.755999999999998,1018.4,21.0
2017-01-26,91.64285714285714,8.467857142857143,1017.7857142857143,16.178571428571427
2017-01-27,77.04166666666667,14.358333333333333,1018.125,16.5
2017-01-28,82.77272727272727,9.690909090909093,1019.6363636363636,14.863636363636363
2017-01-29,81.77777777777777,10.294444444444444,1017.3888888888889,15.666666666666666
2017-01-30,77.55555555555556,4.322222222222222,1015.8333333333334,16.444444444444443
2017-01-31,76.0,4.625,1015.5,16.125
2017-02-01,78.625,5.1000000000000005,1017.5,15.25
2017-02-02,66.54545454545455,3.027272727272727,1018.9090909090909,17.09090909090909
2017-02-03,78.18181818181819,1.8545454545454545,1017.7272727272727,15.636363636363637
2017-02-04,77.6,9.819999999999999,1014.4,18.7
2017-02-05,77.63157894736842,8.099999999999998,1014.2105263157895,18.63157894736842
2017-02-06,69.66666666666667,9.044444444444444,1016.0,16.88888888888889
2017-02-07,63.75,7.637500000000001,1016.125,15.125
2017-02-08,68.4,4.08,1015.6,15.7
2017-02-09,68.375,7.875000000000002,1016.375,15.375
2017-02-10,71.77777777777777,9.066666666666666,1015.6666666666666,14.666666666666666
2017-02-11,64.0,3.95,1016.625,15.625
2017-02-12,70.375,1.625,1019.625,16.25
